ID	UPCEAN	Name	CategoryID	CategoryName	BrandID	BrandName
142513	4606268003195	Воздух жизни нз эмульсия спрей spf30+ 100мл	5586	Косметика (folder)/Косметика	0	
49907	4606268002518	Воздух жизни пу гель для умывания увлажняющий 100мл	337447	Гигиена (folder)/Товары для душа и ванны	0	
81478	4606268004093	Воздух жизни пу гель-маска стимулирующая 100мл	5586	Косметика (folder)/Косметика	0	
4837766	4606268002365	Воздух жизни пу Крем для век п/морщин 50мл	241824	Лекарственные средства (folder)/Аптека	0	
4837767	4606268001207	Воздух жизни пу Крем для ног дезодорирующий 75мл	241824	Лекарственные средства (folder)/Аптека	0	
4837768	4606268002372	Воздух жизни пу Крем для ногтей упрочняющий 50мл	241824	Лекарственные средства (folder)/Аптека	0	
4837769	4606268002433	Воздух жизни пу Крем для рук питающий 75мл	241824	Лекарственные средства (folder)/Аптека	0	
4837770	4606268002389	Воздух жизни пу Крем дневной регулирующий 50мл	241824	Лекарственные средства (folder)/Аптека	0	
4837771	4606268002396	Воздух жизни пу Крем ночной регенерирующий 50мл	241824	Лекарственные средства (folder)/Аптека	0	
4837772	4606268002402	Воздух жизни пу Крем-гель восстанавливающий 50мл	241824	Лекарственные средства (folder)/Аптека	0	
4837773	4606268002457	Воздух жизни пу Крем-маска омолаживающая 100мл	241824	Лекарственные средства (folder)/Аптека	0	
4837774	4606268004116	Воздух жизни пу Крем-пенка тонизирующая 100мл	241824	Лекарственные средства (folder)/Аптека	0	
4837775	4606268002419	Воздух жизни пу лифтинг-Крем укрепляющий 50мл	241824	Лекарственные средства (folder)/Аптека	0	
84691	4606268002488	Воздух жизни пу молочко очищающее 100мл	5586	Косметика (folder)/Косметика	0	
4837776	4606268003294	Воздух жизни пу пилинг-Крем шлифующий 100мл	241824	Лекарственные средства (folder)/Аптека	0	
129456	4606268004369	Воздух жизни пу тоник-гель особо нежный 100мл	5586	Косметика (folder)/Косметика	0	
129422	4606268002464	Воздух жизни пу тоник-лосьон освежающий 100мл	5586	Косметика (folder)/Косметика	0	
3299434	4605098000626	Воздуховод era 14ba/14va гофрированный из алюминиевой фольги 140мм 3м м/у	1	Неклассифицированные/default	0	
3299435	4605098007465	Воздуховод era алюмин гибкий 11.5 ва д-115м 3м м/у	1	Неклассифицированные/default	0	
1669965	4605098000565	Воздуховод era модель 10ва гибкий алюмин гофрированный 100мм 3м м/у	1	Неклассифицированные/default	0	
3299436	4605098000572	Воздуховод era модель 12ba гибкий алюмин гофрированный 110мм 3м м/у	1	Неклассифицированные/default	0	
720807	4605098000589	Воздуховод era модель 12ba гибкий алюмин гофрированный 120мм 3м м/у	1	Неклассифицированные/default	0	
455074	4605098000602	Воздуховод era модель 13ba гибкий алюмин гофрированный 130мм 3м м/у	1	Неклассифицированные/default	0	
3299437	4605098000633	Воздуховод era модель 15ba гибкий алюмин гофрированный 150мм 3м м/у	1	Неклассифицированные/default	0	
3299438	4607138380170	Воздуховод воздух гофрированный 150мм 1.5м	1	Неклассифицированные/default	0	
3299439	4607138380026	Воздуховод воздух гофрированный из алюминиевой фольги d 100 3м	1	Неклассифицированные/default	0	
3299440	4607138380040	Воздуховод воздух гофрированный из алюминиевой фольги d 120 3м	1	Неклассифицированные/default	0	
3299441	4607138380132	Воздуховод воздух гофрированный из алюминиевой фольги d 120мм 1.5м	1	Неклассифицированные/default	0	
3299442	4607138380118	Воздуховод воздух гофрированный из алюминиевой фольги d=100 1.5м	1	Неклассифицированные/default	0	
3299443	4607138380125	Воздуховод воздух гофрированный из алюминиевой фольги d=110 1.5м	1	Неклассифицированные/default	0	
3299444	4607138380033	Воздуховод воздух гофрированный из алюминиевой фольги d=110 3м	1	Неклассифицированные/default	0	
3299445	4607138380149	Воздуховод воздух гофрированный из алюминиевой фольги d=125 1.5м	1	Неклассифицированные/default	0	
3299446	4607138380057	Воздуховод воздух гофрированный из алюминиевой фольги d=125 3м	1	Неклассифицированные/default	0	
3299447	4607138380156	Воздуховод воздух гофрированный из алюминиевой фольги d=130 1.5м	1	Неклассифицированные/default	0	
3299448	4607138380064	Воздуховод воздух гофрированный из алюминиевой фольги d=130мм 3м	1	Неклассифицированные/default	0	
3299449	4607138380071	Воздуховод воздух гофрированный из алюминиевой фольги d=140 3м	1	Неклассифицированные/default	0	
3299450	4607138380101	Воздуховод гофрированный из алюминиевой фольги d-80мм 1.5м	1	Неклассифицированные/default	0	
3299451	4607138380019	Воздуховод гофрированный из алюминиевой фольги d-80мм 3м	1	Неклассифицированные/default	0	
1218962	4605098002705	Воздуховод Эра плоский 60x 120мм 2м	1	Неклассифицированные/default	0	
3299452	4605098001593	Воздуховод Эра плоский 60x 204мм 0.5м	1	Неклассифицированные/default	0	
3299453	4605098002590	Воздуховод Эра плоский 60x 204мм 1.5м	1	Неклассифицированные/default	0	
693316	4607079078433	Воздухоотвод механический valtec	278405	Строительные и отделочные материалы (folder)/Сантехника	433381	Valtec
693318	4811260004372	Воздухоочист.ii к47	1	Неклассифицированные/default	0	
693319	4811260004389	Воздухоочист.бо 1502	1	Неклассифицированные/default	0	
693321	4811260004204	Воздухоочист.вв 1 к17	1	Неклассифицированные/default	0	
2721646	4811260004341	Воздухоочист.во 10 к45	1	Неклассифицированные/default	0	
693317	4811260004365	Воздухоочист.во 11 к45	1	Неклассифицированные/default	0	
1199820	4811260004488	Воздухоочист.во 1603 к12	1182450	Техника (folder)/Газовое оборудование	0	
2721647	4811260006130	Воздухоочист.во 2601 к41	1	Неклассифицированные/default	0	
693327	481126000455	Воздухоочист.во 2601 к47	1	Неклассифицированные/default	0	
1199823	4811260004556	Воздухоочист.во 2601 к47 #2	1182450	Техника (folder)/Газовое оборудование	0	
693328	4811260004563	Воздухоочист.во 2601 к55	1	Неклассифицированные/default	0	
1199824	4811260005096	Воздухоочист.во 3603 д1а	1182450	Техника (folder)/Газовое оборудование	0	
693329	4811260004297	Воздухоочист.во 4 к17	1	Неклассифицированные/default	0	
1958297	4811260002972	Воздухоочист.во 4 к17 #2	1	Неклассифицированные/default	0	
693331	481126000530	Воздухоочист.во 4601 к20	1	Неклассифицированные/default	0	
693320	4811260004198	Воздухоочистель вв1	1	Неклассифицированные/default	0	
1199827	4811260004471	Воздухоочистель во 16032	1182450	Техника (folder)/Газовое оборудование	0	
1199828	4211125660109	Воздухоочиститель Beurer lw110 Black	2418507	Изделия медицинского назначения (folder)/Изделия медицинского назначения	207511	BEURER
